Added Component: Designator=U2(Raspberry Pi 3 ModelB)
Added Pin To Net: NetName=VOUT_2 Pin=U2-2
Added Pin To Net: NetName=I2C1_SDA Pin=U2-3
Added Pin To Net: NetName=I2C1_SCL Pin=U2-5
Added Pin To Net: NetName=GND Pin=U2-6
Added Pin To Net: NetName=GPIO4 Pin=U2-7
Added Pin To Net: NetName=UART0_TX Pin=U2-8
Added Pin To Net: NetName=GND Pin=U2-9
Added Pin To Net: NetName=UART0_RX Pin=U2-10
Added Pin To Net: NetName=GPIO17 Pin=U2-11
Added Pin To Net: NetName=GPIO27 Pin=U2-13
Added Pin To Net: NetName=GND Pin=U2-14
Added Pin To Net: NetName=GPIO22 Pin=U2-15
Added Pin To Net: NetName=SPI0_MOSI Pin=U2-19
Added Pin To Net: NetName=GND Pin=U2-20
Added Pin To Net: NetName=SPI0_MISO Pin=U2-21
Added Pin To Net: NetName=GPIO25 Pin=U2-22
Added Pin To Net: NetName=SPI0_SCLK Pin=U2-23
Added Pin To Net: NetName=SPI0_CE0 Pin=U2-24
Added Pin To Net: NetName=GND Pin=U2-25
Added Pin To Net: NetName=SPI0_CE1 Pin=U2-26
Added Pin To Net: NetName=I2C0_SDA Pin=U2-27
Added Pin To Net: NetName=I2C0_SCL Pin=U2-28
Added Pin To Net: NetName=GND Pin=U2-30
Added Pin To Net: NetName=PWM0 Pin=U2-32
Added Pin To Net: NetName=PWM1 Pin=U2-33
Added Pin To Net: NetName=GND Pin=U2-34
Added Pin To Net: NetName=GPIO26 Pin=U2-37
Added Pin To Net: NetName=GPIO20 Pin=U2-38
Added Pin To Net: NetName=GND Pin=U2-39
Added Member To Class: ClassName=RaspberryPi3_Cape_V1.0 Member=Component U2 RaspberryPi_3
